concept id	name	element file id
FMA52741	lacrimal bone	FJ3371
FMA61775	physical anatomical entity	FJ1395
FMA55671	cavitated organ	FJ3346
FMA61775	physical anatomical entity	FJ1510
FMA22763	arteria radialis indicis	FJ2342
FMA61775	physical anatomical entity	FJ3340
FMA37347	muscle of pectoral girdle	FJ1459
FMA9622	muscle of lower limb	FJ1437
FMA8707	apical segmental artery	FJ2917
FMA8012	left second rib	FJ3229
FMA61775	physical anatomical entity	FJ2331
FMA7596	atypical rib	FJ3334
FMA67135	anatomical structure	FJ3156
FMA55665	nonparenchymatous organ	FJ2809
FMA55268	organ zone	FJ1464
FMA62955	anatomical entity	FJ3157
FMA256237	segment of neuraxis	FJ1746
FMA67135	anatomical structure	FJ1452
FMA67165	material anatomical entity	FJ3170
FMA37369	muscle of foot	FJ1387
FMA62955	anatomical entity	FJ3330
FMA55673	organ with cavitated organ parts	FJ3228
FMA66464	systemic artery	FJ3091
FMA67165	material anatomical entity	FJ3631
FMA67619	organ region	FJ2660
FMA67165	material anatomical entity	FJ2543
FMA67135	anatomical structure	FJ1437M
FMA67135	anatomical structure	FJ1596
FMA67498	organ	FJ1551
FMA34679	spinal part of deltoid	FJ1513M
FMA55670	solid organ	FJ3218
FMA7474	long bone	FJ3226
FMA67619	organ region	FJ2354
FMA67619	organ region	FJ1442M
FMA5018	bone organ	FJ3381
FMA61775	physical anatomical entity	FJ3366
FMA61775	physical anatomical entity	FJ3541
FMA55665	nonparenchymatous organ	FJ2800
FMA32556	transverse part of trapezius	FJ1554M
FMA67619	organ region	FJ1661
FMA83143	cell part cluster of neuraxis	FJ1824
FMA67165	material anatomical entity	FJ3380
FMA67165	material anatomical entity	FJ1452
FMA61775	physical anatomical entity	FJ2081
FMA61775	physical anatomical entity	FJ1459M
FMA61775	physical anatomical entity	FJ1437
FMA77884	subdivision of subclavian vein	FJ2222
FMA67165	material anatomical entity	FJ2964
FMA9921	lumbar vertebra	FJ3162
FMA5018	bone organ	FJ3362
FMA55673	organ with cavitated organ parts	FJ3371
FMA5018	bone organ	FJ3391
FMA67165	material anatomical entity	FJ1478
FMA61775	physical anatomical entity	FJ1477
FMA5018	bone organ	FJ3226
FMA52789	left parietal bone	FJ3274
FMA14065	organ component	FJ3137
FMA50720	artery	FJ3494
FMA7474	long bone	FJ3282
FMA5022	muscle organ	FJ1436
FMA24476	tibia	FJ3282
FMA62955	anatomical entity	FJ1452M
FMA67498	organ	FJ1536M
FMA9597	salivary gland	FJ2766
FMA5018	bone organ	FJ3235
FMA66464	systemic artery	FJ1657M
FMA55673	organ with cavitated organ parts	FJ3348
FMA9611	femur	FJ3365
FMA9311	subsegmental pulmonary artery	FJ2994
FMA67135	anatomical structure	FJ3394
FMA86140	organ segment	FJ3447
FMA62955	anatomical entity	FJ3173
FMA67619	organ region	FJ2394
FMA62955	anatomical entity	FJ3240
FMA37371	muscle of forearm	FJ1487
FMA8283	right eighth rib	FJ3347
FMA67165	material anatomical entity	FJ3236
FMA50720	artery	FJ1657
FMA61775	physical anatomical entity	FJ3275
FMA55671	cavitated organ	FJ3392
FMA62955	anatomical entity	FJ2459
FMA45729	head of organ	FJ1512M
FMA67135	anatomical structure	FJ1520M
FMA62955	anatomical entity	FJ1444
FMA61775	physical anatomical entity	FJ1259
FMA10446	intervertebral disk	FJ3203
FMA7477	irregular bone	FJ3163
FMA67498	organ	FJ3226
FMA61775	physical anatomical entity	FJ1443M
FMA55107	cartilage organ	FJ3216
FMA55107	cartilage organ	FJ3215
FMA5018	bone organ	FJ3371
FMA34685	spinal part of left deltoid	FJ1513M
FMA82472	cardinal organ part	FJ1478
FMA9613	parietal bone	FJ3380
FMA67165	material anatomical entity	FJ3385
FMA22693	branch of brachial artery	FJ2267
FMA67165	material anatomical entity	FJ3381
FMA55671	cavitated organ	FJ3282
FMA50723	vein	FJ2949
FMA67498	organ	FJ3349
FMA8066	right fifth rib	FJ3342
FMA67619	organ region	FJ1395
FMA8668	superior lingular vein	FJ2937
FMA55670	solid organ	FJ3204
FMA5018	bone organ	FJ3349
FMA67619	organ region	FJ3439
FMA55268	organ zone	FJ1464M
FMA67135	anatomical structure	FJ3115
FMA265400	region of vascular layer of eyeball	FJ1337
FMA55665	nonparenchymatous organ	FJ3222
FMA55665	nonparenchymatous organ	FJ1541M
FMA67135	anatomical structure	FJ1441
FMA34678	acromial part of deltoid	FJ1467M
FMA38615	humeral head of flexor carpi ulnaris	FJ1473M
FMA55671	cavitated organ	FJ3227
FMA22471	muscle of leg	FJ1439M
FMA9914	vertebra	FJ3157
FMA67135	anatomical structure	FJ1403
FMA10455	intervertebral disk of thoracic vertebra	FJ3222
FMA61775	physical anatomical entity	FJ1738
FMA38484	left flexor pollicis longus	FJ1498M
FMA45729	head of organ	FJ1394M
FMA52892	right zygomatic bone	FJ3392
FMA7597	first rib	FJ3228
FMA86187	segment of arterial tree organ	FJ3593
FMA55670	solid organ	FJ1439
FMA37687	long head of left biceps brachii	FJ1478M
FMA7474	long bone	FJ3368
FMA67135	anatomical structure	FJ3565
FMA50722	region of vascular tree organ	FJ2079
FMA62955	anatomical entity	FJ2590
FMA7474	long bone	FJ3338
FMA55268	organ zone	FJ1479
FMA10446	intervertebral disk	FJ3209
FMA9248	fourth thoracic vertebra	FJ3166
FMA7474	long bone	FJ3229
FMA62955	anatomical entity	FJ3394
FMA67165	material anatomical entity	FJ2487
FMA7574	rib	FJ3231
FMA68683	anterior branch of right anterior segmental artery	FJ2977
FMA67135	anatomical structure	FJ3368
FMA67165	material anatomical entity	FJ1554M
FMA61775	physical anatomical entity	FJ3368
FMA67498	organ	FJ3338
FMA67165	material anatomical entity	FJ1443
FMA67498	organ	FJ3393
FMA12524	sixth cervical vertebra	FJ3170
FMA55673	organ with cavitated organ parts	FJ3157
FMA67498	organ	FJ3395
FMA5018	bone organ	FJ3180
FMA62955	anatomical entity	FJ3342
FMA67619	organ region	FJ2687
FMA67135	anatomical structure	FJ1381
FMA77177	iliocostalis	FJ1528M
FMA67619	organ region	FJ1468
FMA22429	zone of quadriceps femoris	FJ1443M
FMA55673	organ with cavitated organ parts	FJ3233
FMA61775	physical anatomical entity	FJ2246
FMA55671	cavitated organ	FJ3164
FMA67165	material anatomical entity	FJ3209
FMA55268	organ zone	FJ1481M
FMA55671	cavitated organ	FJ3226
FMA13894	intervertebral disk of lumbar vertebra	FJ3212
FMA62955	anatomical entity	FJ3169
FMA67165	material anatomical entity	FJ2055
FMA8472	left tenth rib	FJ3225
FMA50722	region of vascular tree organ	FJ2416
FMA9914	vertebra	FJ3167
FMA67498	organ	FJ3279
FMA23920	proximal phalanx of middle finger	FJ3325
FMA46590	left thyro-arytenoid	FJ2785
FMA5018	bone organ	FJ3164
FMA67135	anatomical structure	FJ3234
FMA50670	right thalamogeniculate artery	FJ1675
FMA78049	subdivision of inferior vena caval tree	FJ2201
FMA52737	temporal bone	FJ3386
FMA46578	left posterior crico-arytenoid	FJ2782
FMA37683	long head of biceps brachii	FJ1478M
FMA61775	physical anatomical entity	FJ1444M
FMA22917	tributary of venous anastomosis	FJ2359
FMA67619	organ region	FJ1700
FMA67165	material anatomical entity	FJ2895
FMA8175	right sixth rib	FJ3344
FMA67135	anatomical structure	FJ1397M
FMA67165	material anatomical entity	FJ3375
FMA62955	anatomical entity	FJ1729M
FMA7474	long bone	FJ3225
FMA55671	cavitated organ	FJ3229
FMA65046	intrinsic muscle of plantar part of foot	FJ1388
FMA22471	muscle of leg	FJ1439
FMA61775	physical anatomical entity	FJ3080
FMA55673	organ with cavitated organ parts	FJ3289
FMA52677	left anterior ethmoidal nerve	FJ1283
FMA67165	material anatomical entity	FJ3156
FMA7593	typical rib	FJ3340
FMA55268	organ zone	FJ1446
FMA55673	organ with cavitated organ parts	FJ3199
FMA7475	short bone	FJ3381
FMA7594	false rib	FJ3235
FMA62955	anatomical entity	FJ3260
FMA58274	muscle of trunk	FJ1452
FMA32555	ascending part of trapezius	FJ1520M
FMA10037	tenth thoracic vertebra	FJ3154
FMA61775	physical anatomical entity	FJ1572
FMA67498	organ	FJ2784
FMA4786	left musculophrenic vein	FJ1988
FMA55670	solid organ	FJ1418
FMA65004	superficial muscle of posterior compartment of leg	FJ1437
FMA67165	material anatomical entity	FJ1439M
FMA13895	intervertebral disk of cervical vertebra	FJ3218
FMA22443	adductor magnus	FJ1403
FMA50720	artery	FJ2970
FMA55665	nonparenchymatous organ	FJ2743
FMA67165	material anatomical entity	FJ1785
FMA61775	physical anatomical entity	FJ1439M
FMA67165	material anatomical entity	FJ1591
FMA71859	segment of right hepatic biliary tree	FJ3072
FMA67165	material anatomical entity	FJ1447M
FMA13344	thyrohyoid	FJ1599
FMA10458	intervertebral disk of first thoracic vertebra	FJ3222
FMA34699	abdominal part of pectoralis major	FJ1446
FMA61775	physical anatomical entity	FJ3215
FMA9991	eighth thoracic vertebra	FJ3174
FMA10446	intervertebral disk	FJ3219
FMA67135	anatomical structure	FJ3379
FMA86187	segment of arterial tree organ	FJ1728
FMA62955	anatomical entity	FJ3606
FMA7210	testis	FJ3142
FMA24485	patella	FJ3381
FMA67135	anatomical structure	FJ2623
FMA5865	cranial nerve	FJ1330
FMA61775	physical anatomical entity	FJ2554
FMA67135	anatomical structure	FJ3219
FMA67135	anatomical structure	FJ1472
FMA67498	organ	FJ1470
FMA55671	cavitated organ	FJ3365
FMA67135	anatomical structure	FJ1555
FMA82472	cardinal organ part	FJ3127
FMA62514	basal ganglion of telencephalon	FJ1829
FMA61775	physical anatomical entity	FJ3380
FMA67498	organ	FJ3176
FMA67135	anatomical structure	FJ1533M
FMA67619	organ region	FJ2073
FMA32630	distal phalanx of fourth toe	FJ3181
FMA55670	solid organ	FJ1437M
FMA12521	third cervical vertebra	FJ3161
FMA34696	sternocostal part of pectoralis major	FJ1464
FMA67135	anatomical structure	FJ1703M
FMA70439	subdivision of right hepatic artery	FJ3075
FMA44489	plantar venous arch of foot	FJ2129
FMA67135	anatomical structure	FJ1464
FMA82472	cardinal organ part	FJ2715
FMA7595	floating rib	FJ3226
FMA7477	irregular bone	FJ3166
FMA70442	anterior superior segmental hepatic artery	FJ3076
FMA67165	material anatomical entity	FJ1520M
FMA9621	muscle of upper limb	FJ1507
FMA7574	rib	FJ3338
FMA67135	anatomical structure	FJ3641
FMA33584	transverse part of right trapezius	FJ1554
FMA70504	subdivision of common carotid artery	FJ1667
FMA67165	material anatomical entity	FJ1436
FMA38488	muscle of posterior compartment of forearm	FJ1487M
FMA7594	false rib	FJ3225
FMA3815	first anterior ventricular branch of right coronary artery	FJ2673
FMA7795	fifth costal cartilage	FJ3251
FMA22850	lateral lumbar intertransversarius	FJ1547
FMA62955	anatomical entity	FJ3175
FMA37368	muscle of free lower limb	FJ1439
FMA34683	acromial part of left deltoid	FJ1467M
FMA52741	lacrimal bone	FJ3265
FMA50720	artery	FJ1728M
FMA55671	cavitated organ	FJ3237
FMA50586	branch of posterior cerebral artery	FJ1661
FMA67619	organ region	FJ1397M
FMA62955	anatomical entity	FJ3177
FMA70345	subdivision of subclavian artery	FJ2266
FMA22472	muscle of anterior compartment of leg	FJ1439
FMA5018	bone organ	FJ3336
FMA66643	pulmonary vein	FJ3033
FMA67498	organ	FJ3169
FMA55671	cavitated organ	FJ3232
FMA50722	region of vascular tree organ	FJ3024
FMA7593	typical rib	FJ3346
FMA55671	cavitated organ	FJ3152
FMA50723	vein	FJ3024
FMA10474	zone of muscle organ	FJ1513
FMA55671	cavitated organ	FJ3040
FMA67135	anatomical structure	FJ1439
FMA82472	cardinal organ part	FJ2257
FMA50720	artery	FJ2715
FMA55268	organ zone	FJ1467
FMA7574	rib	FJ3331
FMA7593	typical rib	FJ3230
FMA55673	organ with cavitated organ parts	FJ3384
